year;month;Brazil News-Based EPU
1991;1;111.8543777
1991;2;146.8242188
1991;3;124.6511993
1991;4;153.1076813
1991;5;119.1042023
1991;6;63.61285782
1991;7;86.64367676
1991;8;68.60401917
1991;9;79.24053955
1991;10;136.5848846
1991;11;143.6332855
1991;12;59.77562332
1992;1;67.27913666
1992;2;76.46195984
1992;3;12.84349442
1992;4;34.62159348
1992;5;16.70135307
1992;6;81.7866745
1992;7;107.3151779
1992;8;89.90445709
1992;9;126.9112701
1992;10;82.98873138
1992;11;135.0963745
1992;12;125.3481674
1993;1;128.7315521
1993;2;78.50811768
1993;3;123.4763794
1993;4;76.80233002
1993;5;113.6884308
1993;6;56.74964905
1993;7;75.42728424
1993;8;91.92247009
1993;9;91.64659119
1993;10;99.83420563
1993;11;36.05482864
1993;12;143.6617584
1994;1;104.1311035
1994;2;158.2762451
1994;3;107.2480545
1994;4;110.3231354
1994;5;122.610817
1994;6;113.004631
1994;7;75.21645355
1994;8;63.97792435
1994;9;39.36957932
1994;10;47.87550354
1994;11;40.91065216
1994;12;41.50466537
1995;1;58.10653305
1995;2;60.68673325
1995;3;47.97483826
1995;4;65.06703949
1995;5;12.68998623
1995;6;24.82884979
1995;7;46.04296494
1995;8;41.3770256
1995;9;39.50910568
1995;10;39.81483078
1995;11;74.4533844
1995;12;61.93418503
1996;1;39.87179184
1996;2;14.63012218
1996;3;67.86368561
1996;4;72.42980194
1996;5;62.98391724
1996;6;70.79920959
1996;7;49.00287247
1996;8;29.64934158
1996;9;18.50827789
1996;10;91.75434113
1996;11;66.43714142
1996;12;50.50942993
1997;1;45.34841919
1997;2;58.59738541
1997;3;52.28419876
1997;4;56.69753647
1997;5;42.34241486
1997;6;72.25654602
1997;7;42.38841248
1997;8;38.20040894
1997;9;72.29671478
1997;10;38.86631012
1997;11;123.9213181
1997;12;127.4560242
1998;1;91.31593323
1998;2;53.3040123
1998;3;53.72603989
1998;4;37.66268158
1998;5;43.40617752
1998;6;92.30954742
1998;7;40.21700287
1998;8;114.5564728
1998;9;170.3008118
1998;10;71.36449432
1998;11;110.0508652
1998;12;98.40010834
1999;1;189.1585846
1999;2;128.0170746
1999;3;75.83777618
1999;4;65.80963898
1999;5;52.72379303
1999;6;71.00734711
1999;7;80.24377441
1999;8;35.25665283
1999;9;62.9444046
1999;10;96.94046021
1999;11;52.28419876
1999;12;49.51983261
2000;1;54.60319901
2000;2;41.26398468
2000;3;73.60725403
2000;4;96.34906006
2000;5;189.9685211
2000;6;106.8726501
2000;7;54.11724854
2000;8;99.49033356
2000;9;103.9327393
2000;10;113.8622818
2000;11;73.12444305
2000;12;85.99126434
2001;1;81.49234772
2001;2;96.22920227
